OBJECTID,LOCATION_ID,MIDPNT_LAT,MIDPNT_LON,HMGNS_FLOW_ID,HMGNS_LNK_ID,HMGNS_LNK_DESC,FLOW,ALLVEHS_MMW,ALLVEH_CALC,ALLVEHS_AADT,TRUCKS_AADT,TRUCK_CALC,PER_TRUCKS,TWO_WAY_AADT,ALLVEH_AMPEAK,ALLVEH_PMPEAK,GROWTH_RATE,CI,YR,LABEL
356495,814,-37.0062233183047,143.388127935342,814,870,SUNRAYSIA HIGHWAY btwn MOONAMBEL ROAD & HIGH STREET,SOUTH EAST BOUND,644,E,682,152,E,0.27,1400,,,0.035,0.004,2017,682* (22% 152*) SOUTH EAST BOUND
356496,1187,-36.1442342504514,142.859852804686,1187,857,CAMP STREET btwn SUNRAYSIA HIGHWAY & SUNRAYSIA HIGHWAY,SOUTH BOUND,98,E,103,16,E,0.18,200,,,0.001,0.011000000000000001,2017,103* (16% 16*) SOUTH BOUND
356497,1544,-37.2838322586299,143.522094987768,1544,879,SUNRAYSIA HIGHWAY btwn SKENE STREET & WESTERN HIGHWAY Onramp,SOUTH EAST BOUND,768,E,814,180,E,0.27,1700,,,0.025,0.006,2017,814* (22% 180*) SOUTH EAST BOUND
356498,1545,-38.6270711242486,145.721481222896,1545,951,GOROKE STREET btwn INVERLOCH-KONGWAK ROAD & POWLETT STREET,EAST BOUND,2700,E,2900,229,E,0.1,5800,,,0.028,0.009000000000000001,2017,"2,900* (8% 229*) EAST BOUND"
356499,821,-37.8184591460081,145.175994882293,821,1029,WHITEHORSE ROAD btwn ROOKS ROAD & SPRINGVALE ROAD,EAST BOUND,26000,E,23000,1300,E,0.07,48000,,,-0.019,0.007,2017,"23,000* (6% 1,300*) EAST BOUND"
356500,822,-37.8110198523902,145.237487749585,822,1037,WHITEHORSE ROAD btwn DUBLIN ROAD & RINGWOOD BYPASS,NORTH EAST BOUND,22000,E,20000,1100,E,0.06,40000,,,0.01,0.003,2017,"20,000* (5% 1,100*) NORTH EAST BOUND"
356501,1551,-37.7867547228889,145.275390679021,1551,1041,WHITEHORSE ROAD btwn YARRA ROAD & KENT AVENUE,EAST BOUND,25000,E,22000,1200,E,0.06,44000,,,0.0,0.003,2017,"22,000* (6% 1,200*) EAST BOUND"
356502,1553,-37.7574864270159,145.354842872755,1553,1050,MAROONDAH HIGHWAY btwn MANGANS ROAD & MAIN STREET,EAST BOUND,17000,E,15000,816,E,0.06,29000,,,-0.002,0.006,2017,"15,000* (5% 816*) EAST BOUND"
356503,828,-37.7211021023689,145.379606065246,828,1059,MAROONDAH HIGHWAY btwn HEALESVILLE-KOO WEE RUP ROAD & MELBA HIGHWAY,EAST BOUND,5000,E,4500,284,E,0.07,9200,,,0.011000000000000001,0.003,2017,"4,500* (6% 284*) EAST BOUND"
356504,1207,-37.6476291252172,145.542098681022,1207,1068,MAROONDAH HIGHWAY btwn MARYSVILLE ROAD & WALLACE PARADE,NORTH EAST BOUND,960,E,1000,108,E,0.13,2000,,,0.011000000000000001,0.009000000000000001,2017,"1,000* (11% 108*) NORTH EAST BOUND"
